hoso_1,m5a1ct,m5a1c4,m5a1c5,m5a2ct,m5a2c11,m5a2c12,m5b1c7,m5b2ct,m5b2c4,m5b2c5,m5b3ct,m5b4c
17,487.0,0.0,0.0,15172.0,0.0,0.0,0.0,1297.0,0.0,0,880,0
4,1041.0,0.0,0.0,11846.6,0.0,0.0,0.0,3594.0,0.0,0,1665,5500
5,580.0,0.0,0.0,20387.0,0.0,0.0,0.0,3910.0,0.0,0,2580,0
13,662.0,607.0,55.0,12253.2,12253.2,0.0,0.0,1492.0,1457.0,35,1660,0
14,1735.0,1535.0,200.0,20215.0,20095.0,120.0,0.0,3380.0,3380.0,0,2570,0
20,256.0,256.0,0.0,9857.0,9393.0,464.0,0.0,2157.0,1850.0,307,15300,2880
101,2017.0,0.0,0.0,30278.0,0.0,0.0,0.0,5705.0,0.0,0,2630,0
102,1608.0,0.0,0.0,38910.0,0.0,0.0,0.0,7920.0,0.0,0,1550,2400
103,12.0,0.0,0.0,5196.6,0.0,0.0,0.0,531.0,0.0,0,230,13000
7,530.0,0.0,0.0,10822.6,0.0,0.0,0.0,490.0,0.0,0,800,11200
10,603.0,0.0,0.0,12251.6,0.0,0.0,0.0,1361.0,0.0,0,745,2160
11,385.0,0.0,0.0,10761.0,0.0,0.0,0.0,2455.0,0.0,0,600,0
12,460.0,0.0,0.0,15523.0,0.0,0.0,0.0,5245.0,0.0,0,6580,34000
1,1108.0,0.0,0.0,18173.0,0.0,0.0,0.0,5889.0,0.0,0,3110,0
2,2478.0,0.0,0.0,53024.0,0.0,0.0,0.0,12882.0,0.0,0,1100,0
3,1215.0,0.0,0.0,24274.0,0.0,0.0,0.0,5140.0,0.0,0,8770,0
4,2495.0,0.0,0.0,34072.2,0.0,0.0,0.0,14904.0,0.0,0,5510,2120
5,726.5,0.0,0.0,19272.0,0.0,0.0,0.0,3167.0,0.0,0,9980,0
6,2162.0,0.0,0.0,47658.2,0.0,0.0,0.0,7175.0,0.0,0,4870,0
7,1477.0,0.0,0.0,46010.8,0.0,0.0,0.0,8789.0,0.0,0,1250,0
8,1800.0,0.0,0.0,46562.0,0.0,0.0,0.0,12277.0,0.0,0,1960,0
9,745.5,0.0,0.0,15972.0,0.0,0.0,0.0,3715.0,0.0,0,10060,0
10,2472.0,0.0,0.0,37915.0,0.0,0.0,0.0,3676.0,0.0,0,9385,0
11,1352.0,0.0,0.0,42995.3,0.0,0.0,0.0,27378.0,0.0,0,2400,0
12,1201.4,0.0,0.0,21543.4,0.0,0.0,0.0,3945.0,0.0,0,3598,0
13,2396.0,0.0,0.0,20622.8,0.0,0.0,0.0,4996.0,0.0,0,6195,0
14,1035.0,0.0,0.0,17202.0,0.0,0.0,0.0,4689.0,0.0,0,5420,0
15,1002.0,0.0,0.0,18747.5,0.0,0.0,0.0,4310.0,0.0,0,3602,18000
12,2490.0,0.0,0.0,17344.0,0.0,0.0,0.0,11380.0,0.0,0,14000,100000
9,304.0,0.0,0.0,3939.0,0.0,0.0,0.0,1550.0,0.0,0,2000,9500
3,337.0,0.0,0.0,6153.0,0.0,0.0,0.0,1590.0,0.0,0,1000,1600
10,591.0,0.0,0.0,11311.0,0.0,0.0,0.0,1280.0,0.0,0,3400,0
8,942.0,0.0,0.0,12378.0,0.0,0.0,0.0,6100.0,0.0,0,2500,0
7,1014.5,0.0,0.0,14625.0,0.0,0.0,0.0,3733.0,0.0,0,6400,2000
11,657.0,0.0,0.0,3978.0,0.0,0.0,0.0,4967.0,0.0,0,2400,0
14,617.0,617.0,0.0,9084.0,9084.0,0.0,0.0,920.0,920.0,0,3500,750
13,686.0,686.0,0.0,4470.0,4470.0,0.0,400.0,550.0,550.0,0,3500,6000
101,987.0,0.0,0.0,16675.0,0.0,0.0,0.0,2420.0,0.0,0,34400,12600
105,524.0,0.0,0.0,9596.0,0.0,0.0,0.0,2211.0,0.0,0,4800,4200
103,840.0,0.0,0.0,16840.0,0.0,0.0,0.0,1785.0,0.0,0,13300,1500
15,1154.0,729.0,425.0,12714.0,9262.0,3452.0,500.0,565.0,565.0,0,6600,11900
1,712.0,0.0,0.0,3256.0,0.0,0.0,0.0,693.0,0.0,0,6000,1580
2,2390.0,0.0,0.0,27777.0,0.0,0.0,0.0,9720.0,0.0,0,24000,33000
5,875.0,0.0,0.0,20258.0,0.0,0.0,0.0,4608.0,0.0,0,41000,0
4,889.0,0.0,0.0,15093.0,0.0,0.0,0.0,2766.0,0.0,0,7500,4125
6,995.0,0.0,0.0,7963.0,0.0,0.0,0.0,4850.0,0.0,0,5100,1600
2,671.0,0.0,0.0,11854.0,0.0,0.0,0.0,3090.0,0.0,0,1150,0
15,1190.0,1040.0,150.0,22445.0,14680.0,7765.0,0.0,3790.0,3790.0,0,2495,0
101,869.0,0.0,0.0,17916.0,0.0,0.0,0.0,3540.0,0.0,0,2130,0
13,1017.0,917.0,100.0,23690.0,18182.0,5508.0,0.0,5425.0,5425.0,0,13090,0
14,654.0,554.0,100.0,13810.0,9830.0,3980.0,1800.0,2385.0,2385.0,0,1500,0
103,611.0,0.0,0.0,13386.0,0.0,0.0,0.0,3330.0,0.0,0,970,0
102,547.0,0.0,0.0,11103.0,0.0,0.0,0.0,2225.0,0.0,0,220,0
12,381.0,0.0,0.0,9271.0,0.0,0.0,0.0,1716.0,0.0,0,420,0
11,1510.0,0.0,0.0,37797.0,0.0,0.0,0.0,5570.0,0.0,0,3170,0
6,1552.0,0.0,0.0,23678.0,0.0,0.0,0.0,6690.0,0.0,0,2940,0
5,1370.0,0.0,0.0,32966.0,0.0,0.0,0.0,9120.0,0.0,0,10550,0
4,1392.0,0.0,0.0,25794.0,0.0,0.0,0.0,8305.0,0.0,0,2740,0
3,1936.0,0.0,0.0,26257.0,0.0,0.0,0.0,3760.0,0.0,0,6225,0
1,1213.0,0.0,0.0,20764.0,0.0,0.0,0.0,6410.0,0.0,0,3770,0
7,1459.0,0.0,0.0,22166.0,0.0,0.0,0.0,6870.0,0.0,0,12250,0
8,1922.0,0.0,0.0,33139.0,0.0,0.0,0.0,5845.0,0.0,0,9020,0
9,1090.0,0.0,0.0,21154.0,0.0,0.0,0.0,3365.0,0.0,0,7700,0
10,521.0,0.0,0.0,12120.0,0.0,0.0,0.0,2190.0,0.0,0,500,0
12,390.5,0.0,0.0,8937.0,0.0,0.0,0.0,1610.0,0.0,0,2585,0
7,340.0,0.0,0.0,4078.0,0.0,0.0,0.0,950.0,0.0,0,11700,5000
2,902.0,0.0,0.0,21024.0,0.0,0.0,0.0,2985.0,0.0,0,34220,700
13,422.0,0.0,0.0,12907.0,0.0,0.0,0.0,2295.0,0.0,0,10285,0
11,780.0,0.0,0.0,12680.0,0.0,0.0,0.0,5360.0,0.0,0,1330,1240
10,579.5,0.0,0.0,6404.0,0.0,0.0,0.0,720.0,0.0,0,2550,0
5,1106.0,0.0,0.0,12112.0,0.0,0.0,0.0,5032.0,0.0,0,8400,5000
4,186.0,0.0,0.0,7763.0,0.0,0.0,0.0,394.0,0.0,0,3100,0
8,359.0,0.0,0.0,7755.0,0.0,0.0,0.0,2230.0,0.0,0,6850,0
18,709.0,0.0,0.0,11985.0,0.0,0.0,0.0,1575.0,0.0,0,5890,0
15,1242.0,0.0,0.0,16101.0,0.0,0.0,0.0,2746.0,0.0,0,720,0
14,906.0,0.0,0.0,11947.0,0.0,0.0,0.0,3575.0,0.0,0,7285,0
6,1057.0,0.0,0.0,34492.0,0.0,0.0,0.0,3686.0,0.0,0,2085,0
3,1734.0,0.0,0.0,36057.0,0.0,0.0,0.0,9969.0,0.0,0,15080,4320
